titolo,parte,punto,proposta,id_proposta,votanti,favorevoli,non_favorevoli
PARTE II - Punto 60 - Proposta (a),2,60,a,60.a,813,784,29
PARTE II - Punto 61 - Proposta (a),2,61,a,61.a,815,785,30
PARTE II - Punto 61 - Proposta (b),2,61,b,61.b,813,771,42
PARTE II - Punto 61 - Proposta (c),2,61,c,61.c,813,789,24
PARTE III - Punto 68 - Proposta (a),3,68,a,68.a,825,802,23
PARTE III - Punto 68 - Proposta (b),3,68,b,68.b,822,786,36
PARTE III - Punto 68 - Proposta (c),3,68,c,68.c,824,773,51
PARTE III - Punto 68 - Proposta (d),3,68,d,68.d,823,786,37
PARTE III - Punto 69 - Proposta (a),3,69,a,69.a,825,805,20
PARTE III - Punto 69 - Proposta (b),3,69,b,69.b,823,804,19
PARTE III - Punto 69 - Proposta (c),3,69,c,69.c,820,755,65
PARTE III - Punto 69 - Proposta (d),3,69,d,69.d,819,777,42
PARTE III - Punto 69 - Proposta (e),3,69,e,69.e,823,797,26
PARTE III - Punto 69 - Proposta (f),3,69,f,69.f,820,773,47
PARTE III - Punto 69 - Proposta (g),3,69,g,69.g,821,784,37
PARTE III - Punto 69 - Proposta (h),3,69,h,69.h,820,796,24
PARTE III - Punto 70 - Proposta (a),3,70,a,70.a,819,789,30
PARTE III - Punto 70 - Proposta (b),3,70,b,70.b,819,788,31
PARTE III - Punto 70 - Proposta (c),3,70,c,70.c,820,773,47
PARTE III - Punto 71 - Proposta (a),3,71,a,71.a,818,750,68
PARTE III - Punto 71 - Proposta (b),3,71,b,71.b,817,661,156
PARTE III - Punto 71 - Proposta (c),3,71,c,71.c,813,625,188
PARTE III - Punto 72 - Proposta (a),3,72,a,72.a,821,767,54
PARTE III - Punto 72 - Proposta (b),3,72,b,72.b,818,674,144
PARTE III - Punto 72 - Proposta (c),3,72,c,72.c,811,668,143
PARTE III - Punto 72 - Proposta (d),3,72,d,72.d,810,636,174
PARTE III - Punto 72 - Proposta (e),3,72,e,72.e,808,759,49
PARTE III - Punto 73 - Proposta (a),3,73,a,73.a,813,781,32
PARTE III - Punto 73 - Proposta (b),3,73,b,73.b,813,775,38
PARTE III - Punto 73 - Proposta (c),3,73,c,73.c,810,781,29
PARTE III - Punto 74 - Proposta (a),3,74,a,74.a,813,798,15
PARTE III - Punto 74 - Proposta (b),3,74,b,74.b,816,761,55
PARTE III - Punto 74 - Proposta (c),3,74,c,74.c,815,781,34
PARTE III - Punto 74 - Proposta (d),3,74,d,74.d,810,794,16
PARTE III - Punto 75 - Proposta (a),3,75,a,75.a,806,734,72
PARTE III - Punto 75 - Proposta (b),3,75,b,75.b,801,714,87
