TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE III - Punto 72 - Proposta (a),821,767,54
PARTE III - Punto 72 - Proposta (b),818,674,144
PARTE III - Punto 72 - Proposta (c),811,668,143
PARTE III - Punto 72 - Proposta (d),810,636,174
PARTE III - Punto 72 - Proposta (e),808,759,49
PARTE III - Punto 73 - Proposta (a),813,781,32
TITOLO,VOTANTI,FAVOREVOLI,NON FAVOREVOLI
PARTE III - Punto 73 - Proposta (b),813,775,38
PARTE III - Punto 73 - Proposta (c),810,781,29
PARTE III - Punto 74 - Proposta (a),813,798,15
PARTE III - Punto 74 - Proposta (b),816,761,55
PARTE III - Punto 74 - Proposta (c),815,781,34
PARTE III - Punto 74 - Proposta (d),810,794,16
PARTE III - Punto 75 - Proposta (a),806,734,72
PARTE III - Punto 75 - Proposta (b),801,714,87
847,832,15
846,812,34
830,818,12
807,792,15
809,781,28
